"";"Id";"LastInvoiceDate";"EnergyCutOffDate";"AgreementCutOffDate";"EnergyInvoicesDue";"AgreementInvoicesDue";"PSVAInvoicesDue";"TotalDebt";"TotalOverdueDebt";"TotalInvoicesDue";"CustomerRating";"PaymentProbability";"FirstProbabilityAction";"SecondProbabilityAction"
"19593";"0035B00000CQPRqQAP";"2015-06-01";"";"";1;0;0;14713;14713;1;1;0,837953701649685;"No Hacer Nada";"No Hacer Nada"
"1884";"0035B00000BBK65QAH";"";"2017-11-30";"";1;0;0;27834;27834;1;1;0,837922877986319;"No Hacer Nada";"No Hacer Nada"
"7785";"0035B00000CQPytQAH";"";"2017-12-15";"";1;0;0;18984;18984;1;1;0,837911152325253;"No Hacer Nada";"No Hacer Nada"
"7241";"0035B00000CQA5kQAH";"2013-01-02";"";"";1;0;0;29823;29823;1;1;0,837895382045717;"No Hacer Nada";"No Hacer Nada"
"12839";"0035B00000CISXGQA5";"2017-02-04";"";"";1;0;0;6480;6480;1;1;0,837892535840082;"No Hacer Nada";"No Hacer Nada"
"4981";"0035B00000CTuaUQAT";"";"";"";1;0;0;22677;22677;1;1;0,837892312413097;"No Hacer Nada";"No Hacer Nada"
"24883";"0035B00000CIbC9QAL";"2011-02-28";"";"";1;0;0;3243;3243;1;1;0,837888129934613;"No Hacer Nada";"No Hacer Nada"
"14141";"0035B00000BAyjTQAT";"2014-06-13";"2017-11-30";"";1;0;0;71083;71083;1;1;0,837876831171142;"No Hacer Nada";"No Hacer Nada"
"21895";"0035B00000CTjcxQAD";"";"";"";1;0;0;10525;10525;1;1;0,837846127921766;"No Hacer Nada";"No Hacer Nada"
"14498";"0035B00000CTlYEQA1";"2017-09-21";"";"2017-11-10";1;1;0;39494;16143;1;1;0,837818150520289;"Email";"SMS"
"16265";"0035B00000BAw2nQAD";"2017-11-02";"";"2017-11-16";0;2;0;32137;32137;2;1;0,837790246440949;"No Hacer Nada";"No Hacer Nada"
"15334";"0035B00000CYQT8QAP";"";"";"";1;0;0;14177;14177;1;1;0,837779261875724;"No Hacer Nada";"No Hacer Nada"
"9644";"0035B00000CTrTFQA1";"2009-02-03";"";"";1;0;0;31137;31137;1;1;0,837776583441091;"No Hacer Nada";"No Hacer Nada"
"18548";"0035B00000CThf7QAD";"2011-11-07";"2017-11-16";"";2;0;0;35796;35796;2;1;0,837759505147308;"No Hacer Nada";"No Hacer Nada"
